PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,AgeMissing,TicketPrefix,FareMissing,CabinKnown,CabinDeck,FamilySize,IsAlone,LogFare,FarePerPerson,TicketGroupSize,TicketGroupFarePerPerson,AgeBand,FareBand,Sex_Pclass,Sex_AgeBand,Embarked_Pclass,Title_AgeBand,Pclass_FareBand,Survived
11,3,female,4.0,1,1,16.7,S,Miss,0,OTHER,0,1,G,3,0,2.873564639579784,5.566666666666666,2,8.35,"(0.419, 20.0]","(10.5, 21.679]",female_3,"female_(0.419, 20.0]",S_3,"Miss_(0.419, 20.0]","3_(10.5, 21.679]",1
12,1,female,58.0,0,0,26.55,S,Miss,0,NONE,0,1,C,1,1,3.316002535598924,26.55,1,26.55,"(40.0, 80.0]","(21.679, 39.688]",female_1,"female_(40.0, 80.0]",S_1,"Miss_(40.0, 80.0]","1_(21.679, 39.688]",1
13,3,male,20.0,0,0,8.05,S,Mr,0,A,0,0,Unknown,1,1,2.2027647577118348,8.05,1,8.05,"(0.419, 20.0]","(7.854, 10.5]",male_3,"male_(0.419, 20.0]",S_3,"Mr_(0.419, 20.0]","3_(7.854, 10.5]",0
14,3,male,39.0,1,5,31.275,S,Mr,0,NONE,0,0,Unknown,7,0,3.4742929367327062,4.467857142857143,7,4.467857142857143,"(30.0, 40.0]","(21.679, 39.688]",male_3,"male_(30.0, 40.0]",S_3,"Mr_(30.0, 40.0]","3_(21.679, 39.688]",0
15,3,female,14.0,0,0,7.8542,S,Miss,0,NONE,0,0,Unknown,1,1,2.180891922715322,7.8542,1,7.8542,"(0.419, 20.0]","(-0.001, 7.854]",female_3,"female_(0.419, 20.0]",S_3,"Miss_(0.419, 20.0]","3_(-0.001, 7.854]",0
16,2,female,55.0,0,0,16.0,S,Mrs,0,NONE,0,0,Unknown,1,1,2.833213344056216,16.0,1,16.0,"(40.0, 80.0]","(10.5, 21.679]",female_2,"female_(40.0, 80.0]",S_2,"Mrs_(40.0, 80.0]","2_(10.5, 21.679]",1
17,3,male,2.0,4,1,29.125,Q,Master,0,NONE,0,0,Unknown,6,0,3.405355391810819,4.854166666666667,5,5.825,"(0.419, 20.0]","(21.679, 39.688]",male_3,"male_(0.419, 20.0]",Q_3,"Master_(0.419, 20.0]","3_(21.679, 39.688]",0
18,2,male,30.0,0,0,13.0,S,Mr,1,NONE,0,0,Unknown,1,1,2.6390573296152584,13.0,1,13.0,"(25.0, 30.0]","(10.5, 21.679]",male_2,"male_(25.0, 30.0]",S_2,"Mr_(25.0, 30.0]","2_(10.5, 21.679]",1
19,3,female,31.0,1,0,18.0,S,Mrs,0,NONE,0,0,Unknown,2,0,2.9444389791664403,9.0,1,18.0,"(30.0, 40.0]","(10.5, 21.679]",female_3,"female_(30.0, 40.0]",S_3,"Mrs_(30.0, 40.0]","3_(10.5, 21.679]",0
20,3,female,21.5,0,0,7.225,C,Mrs,1,NONE,0,0,Unknown,1,1,2.107178296651436,7.225,1,7.225,"(20.0, 25.0]","(-0.001, 7.854]",female_3,"female_(20.0, 25.0]",C_3,"Mrs_(20.0, 25.0]","3_(-0.001, 7.854]",1
21,2,male,35.0,0,0,26.0,S,Mr,0,NONE,0,0,Unknown,1,1,3.295836866004329,26.0,2,13.0,"(30.0, 40.0]","(21.679, 39.688]",male_2,"male_(30.0, 40.0]",S_2,"Mr_(30.0, 40.0]","2_(21.679, 39.688]",0
22,2,male,34.0,0,0,13.0,S,Mr,0,NONE,0,1,D,1,1,2.6390573296152584,13.0,1,13.0,"(30.0, 40.0]","(10.5, 21.679]",male_2,"male_(30.0, 40.0]",S_2,"Mr_(30.0, 40.0]","2_(10.5, 21.679]",1
23,3,female,15.0,0,0,8.0292,Q,Miss,0,NONE,0,0,Unknown,1,1,2.200463769927285,8.0292,1,8.0292,"(0.419, 20.0]","(7.854, 10.5]",female_3,"female_(0.419, 20.0]",Q_3,"Miss_(0.419, 20.0]","3_(7.854, 10.5]",1
24,1,male,28.0,0,0,35.5,S,Mr,0,NONE,0,1,A,1,1,3.597312260588446,35.5,1,35.5,"(25.0, 30.0]","(21.679, 39.688]",male_1,"male_(25.0, 30.0]",S_1,"Mr_(25.0, 30.0]","1_(21.679, 39.688]",1
25,3,female,8.0,3,1,21.075,S,Miss,0,NONE,0,0,Unknown,5,0,3.0944457464900235,4.215,4,5.26875,"(0.419, 20.0]","(10.5, 21.679]",female_3,"female_(0.419, 20.0]",S_3,"Miss_(0.419, 20.0]","3_(10.5, 21.679]",0
26,3,female,38.0,1,5,31.3875,S,Mrs,0,NONE,0,0,Unknown,7,0,3.4777725458882283,4.483928571428572,4,7.846875,"(30.0, 40.0]","(21.679, 39.688]",female_3,"female_(30.0, 40.0]",S_3,"Mrs_(30.0, 40.0]","3_(21.679, 39.688]",1
27,3,male,25.0,0,0,7.225,C,Mr,1,NONE,0,0,Unknown,1,1,2.107178296651436,7.225,1,7.225,"(20.0, 25.0]","(-0.001, 7.854]",male_3,"male_(20.0, 25.0]",C_3,"Mr_(20.0, 25.0]","3_(-0.001, 7.854]",0
28,1,male,19.0,3,2,263.0,S,Mr,0,NONE,0,1,C,6,0,5.575949103146316,43.833333333333336,4,65.75,"(0.419, 20.0]","(39.688, 512.329]",male_1,"male_(0.419, 20.0]",S_1,"Mr_(0.419, 20.0]","1_(39.688, 512.329]",0
29,3,female,21.5,0,0,7.8792,Q,Miss,1,NONE,0,0,Unknown,1,1,2.1837114628556327,7.8792,1,7.8792,"(20.0, 25.0]","(7.854, 10.5]",female_3,"female_(20.0, 25.0]",Q_3,"Miss_(20.0, 25.0]","3_(7.854, 10.5]",1
30,3,male,25.0,0,0,7.8958,S,Mr,1,NONE,0,0,Unknown,1,1,2.1855792552411137,7.8958,1,7.8958,"(20.0, 25.0]","(7.854, 10.5]",male_3,"male_(20.0, 25.0]",S_3,"Mr_(20.0, 25.0]","3_(7.854, 10.5]",0
31,1,male,40.0,0,0,27.7208,C,Royalty,0,PC,0,0,Unknown,1,1,3.357621598945279,27.7208,1,27.7208,"(30.0, 40.0]","(21.679, 39.688]",male_1,"male_(30.0, 40.0]",C_1,"Royalty_(30.0, 40.0]","1_(21.679, 39.688]",0
32,1,female,35.0,1,0,146.5208,C,Mrs,1,PC,0,1,B,2,0,4.993969182787072,73.2604,2,73.2604,"(30.0, 40.0]","(39.688, 512.329]",female_1,"female_(30.0, 40.0]",C_1,"Mrs_(30.0, 40.0]","1_(39.688, 512.329]",1
33,3,female,21.5,0,0,7.75,Q,Miss,1,NONE,0,0,Unknown,1,1,2.169053700369523,7.75,1,7.75,"(20.0, 25.0]","(-0.001, 7.854]",female_3,"female_(20.0, 25.0]",Q_3,"Miss_(20.0, 25.0]","3_(-0.001, 7.854]",1
34,2,male,66.0,0,0,10.5,S,Mr,0,C,0,0,Unknown,1,1,2.4423470353692043,10.5,1,10.5,"(40.0, 80.0]","(7.854, 10.5]",male_2,"male_(40.0, 80.0]",S_2,"Mr_(40.0, 80.0]","2_(7.854, 10.5]",0
35,1,male,28.0,1,0,82.1708,C,Mr,0,PC,0,0,Unknown,2,0,4.420896324687287,41.0854,2,41.0854,"(25.0, 30.0]","(39.688, 512.329]",male_1,"male_(25.0, 30.0]",C_1,"Mr_(25.0, 30.0]","1_(39.688, 512.329]",0
36,1,male,42.0,1,0,52.0,S,Mr,0,NONE,0,0,Unknown,2,0,3.970291913552122,26.0,2,26.0,"(40.0, 80.0]","(39.688, 512.329]",male_1,"male_(40.0, 80.0]",S_1,"Mr_(40.0, 80.0]","1_(39.688, 512.329]",0
37,3,male,25.0,0,0,7.2292,C,Mr,1,NONE,0,0,Unknown,1,1,2.1076888046179385,7.2292,1,7.2292,"(20.0, 25.0]","(-0.001, 7.854]",male_3,"male_(20.0, 25.0]",C_3,"Mr_(20.0, 25.0]","3_(-0.001, 7.854]",1
38,3,male,21.0,0,0,8.05,S,Mr,0,A,0,0,Unknown,1,1,2.2027647577118348,8.05,1,8.05,"(20.0, 25.0]","(7.854, 10.5]",male_3,"male_(20.0, 25.0]",S_3,"Mr_(20.0, 25.0]","3_(7.854, 10.5]",0
39,3,female,18.0,2,0,18.0,S,Miss,0,NONE,0,0,Unknown,3,0,2.9444389791664403,6.0,2,9.0,"(0.419, 20.0]","(10.5, 21.679]",female_3,"female_(0.419, 20.0]",S_3,"Miss_(0.419, 20.0]","3_(10.5, 21.679]",0
40,3,female,14.0,1,0,11.2417,C,Miss,0,NONE,0,0,Unknown,2,0,2.5048481563289,5.62085,2,5.62085,"(0.419, 20.0]","(10.5, 21.679]",female_3,"female_(0.419, 20.0]",C_3,"Miss_(0.419, 20.0]","3_(10.5, 21.679]",1
41,3,female,40.0,1,0,9.475,S,Mrs,0,NONE,0,0,Unknown,2,0,2.348991465808201,4.7375,1,9.475,"(30.0, 40.0]","(7.854, 10.5]",female_3,"female_(30.0, 40.0]",S_3,"Mrs_(30.0, 40.0]","3_(7.854, 10.5]",0
42,2,female,27.0,1,0,21.0,S,Mrs,0,NONE,0,0,Unknown,2,0,3.091042453358316,10.5,2,10.5,"(25.0, 30.0]","(10.5, 21.679]",female_2,"female_(25.0, 30.0]",S_2,"Mrs_(25.0, 30.0]","2_(10.5, 21.679]",0
43,3,male,25.0,0,0,7.8958,C,Mr,1,NONE,0,0,Unknown,1,1,2.1855792552411137,7.8958,1,7.8958,"(20.0, 25.0]","(7.854, 10.5]",male_3,"male_(20.0, 25.0]",C_3,"Mr_(20.0, 25.0]","3_(7.854, 10.5]",0
44,2,female,3.0,1,2,41.5792,C,Miss,0,SC,0,0,Unknown,4,0,3.751365871125377,10.3948,3,13.859733333333333,"(0.419, 20.0]","(39.688, 512.329]",female_2,"female_(0.419, 20.0]",C_2,"Miss_(0.419, 20.0]","2_(39.688, 512.329]",1
45,3,female,19.0,0,0,7.8792,Q,Miss,0,NONE,0,0,Unknown,1,1,2.1837114628556327,7.8792,1,7.8792,"(0.419, 20.0]","(7.854, 10.5]",female_3,"female_(0.419, 20.0]",Q_3,"Miss_(0.419, 20.0]","3_(7.854, 10.5]",1
46,3,male,25.0,0,0,8.05,S,Mr,1,S,0,0,Unknown,1,1,2.2027647577118348,8.05,1,8.05,"(20.0, 25.0]","(7.854, 10.5]",male_3,"male_(20.0, 25.0]",S_3,"Mr_(20.0, 25.0]","3_(7.854, 10.5]",0
47,3,male,25.0,1,0,15.5,Q,Mr,1,NONE,0,0,Unknown,2,0,2.803360380906535,7.75,1,15.5,"(20.0, 25.0]","(10.5, 21.679]",male_3,"male_(20.0, 25.0]",Q_3,"Mr_(20.0, 25.0]","3_(10.5, 21.679]",0
48,3,female,21.5,0,0,7.75,Q,Miss,1,NONE,0,0,Unknown,1,1,2.169053700369523,7.75,1,7.75,"(20.0, 25.0]","(-0.001, 7.854]",female_3,"female_(20.0, 25.0]",Q_3,"Miss_(20.0, 25.0]","3_(-0.001, 7.854]",1
49,3,male,25.0,2,0,21.6792,C,Mr,1,NONE,0,0,Unknown,3,0,3.121448204868825,7.226400000000001,1,21.6792,"(20.0, 25.0]","(10.5, 21.679]",male_3,"male_(20.0, 25.0]",C_3,"Mr_(20.0, 25.0]","3_(10.5, 21.679]",0
50,3,female,18.0,1,0,17.8,S,Mrs,0,NONE,0,0,Unknown,2,0,2.933856869835904,8.9,2,8.9,"(0.419, 20.0]","(10.5, 21.679]",female_3,"female_(0.419, 20.0]",S_3,"Mrs_(0.419, 20.0]","3_(10.5, 21.679]",0
51,3,male,7.0,4,1,39.6875,S,Master,0,NONE,0,0,Unknown,6,0,3.705920919968788,6.614583333333333,6,6.614583333333333,"(0.419, 20.0]","(21.679, 39.688]",male_3,"male_(0.419, 20.0]",S_3,"Master_(0.419, 20.0]","3_(21.679, 39.688]",0
52,3,male,21.0,0,0,7.8,S,Mr,0,A,0,0,Unknown,1,1,2.174751721484161,7.8,1,7.8,"(20.0, 25.0]","(-0.001, 7.854]",male_3,"male_(20.0, 25.0]",S_3,"Mr_(20.0, 25.0]","3_(-0.001, 7.854]",0
53,1,female,49.0,1,0,76.7292,C,Mrs,0,PC,0,1,D,2,0,4.353230991152628,38.3646,3,25.576400000000003,"(40.0, 80.0]","(39.688, 512.329]",female_1,"female_(40.0, 80.0]",C_1,"Mrs_(40.0, 80.0]","1_(39.688, 512.329]",1
54,2,female,29.0,1,0,26.0,S,Mrs,0,NONE,0,0,Unknown,2,0,3.295836866004329,13.0,1,26.0,"(25.0, 30.0]","(21.679, 39.688]",female_2,"female_(25.0, 30.0]",S_2,"Mrs_(25.0, 30.0]","2_(21.679, 39.688]",1
55,1,male,65.0,0,1,61.9792,C,Mr,0,NONE,0,1,B,2,0,4.142804513146981,30.9896,1,61.9792,"(40.0, 80.0]","(39.688, 512.329]",male_1,"male_(40.0, 80.0]",C_1,"Mr_(40.0, 80.0]","1_(39.688, 512.329]",0
56,1,male,40.0,0,0,35.5,S,Mr,1,NONE,0,1,C,1,1,3.597312260588446,35.5,1,35.5,"(30.0, 40.0]","(21.679, 39.688]",male_1,"male_(30.0, 40.0]",S_1,"Mr_(30.0, 40.0]","1_(21.679, 39.688]",1
57,2,female,21.0,0,0,10.5,S,Miss,0,C,0,0,Unknown,1,1,2.4423470353692043,10.5,1,10.5,"(20.0, 25.0]","(7.854, 10.5]",female_2,"female_(20.0, 25.0]",S_2,"Miss_(20.0, 25.0]","2_(7.854, 10.5]",1
58,3,male,28.5,0,0,7.2292,C,Mr,0,NONE,0,0,Unknown,1,1,2.1076888046179385,7.2292,1,7.2292,"(25.0, 30.0]","(-0.001, 7.854]",male_3,"male_(25.0, 30.0]",C_3,"Mr_(25.0, 30.0]","3_(-0.001, 7.854]",0
59,2,female,5.0,1,2,27.75,S,Miss,0,C,0,0,Unknown,4,0,3.3586377672433594,6.9375,3,9.25,"(0.419, 20.0]","(21.679, 39.688]",female_2,"female_(0.419, 20.0]",S_2,"Miss_(0.419, 20.0]","2_(21.679, 39.688]",1
60,3,male,11.0,5,2,46.9,S,Master,0,CA,0,0,Unknown,8,0,3.8691155044168695,5.8625,6,7.816666666666666,"(0.419, 20.0]","(39.688, 512.329]",male_3,"male_(0.419, 20.0]",S_3,"Master_(0.419, 20.0]","3_(39.688, 512.329]",0
61,3,male,22.0,0,0,7.2292,C,Mr,0,NONE,0,0,Unknown,1,1,2.1076888046179385,7.2292,1,7.2292,"(20.0, 25.0]","(-0.001, 7.854]",male_3,"male_(20.0, 25.0]",C_3,"Mr_(20.0, 25.0]","3_(-0.001, 7.854]",0
62,1,female,38.0,0,0,80.0,S,Miss,0,NONE,0,1,B,1,1,4.394449154672439,80.0,2,40.0,"(30.0, 40.0]","(39.688, 512.329]",female_1,"female_(30.0, 40.0]",S_1,"Miss_(30.0, 40.0]","1_(39.688, 512.329]",1
63,1,male,45.0,1,0,83.475,S,Mr,0,NONE,0,1,C,2,0,4.436455632600354,41.7375,2,41.7375,"(40.0, 80.0]","(39.688, 512.329]",male_1,"male_(40.0, 80.0]",S_1,"Mr_(40.0, 80.0]","1_(39.688, 512.329]",0
64,3,male,4.0,3,2,27.9,S,Master,0,NONE,0,0,Unknown,6,0,3.3638415951183864,4.65,6,4.65,"(0.419, 20.0]","(21.679, 39.688]",male_3,"male_(0.419, 20.0]",S_3,"Master_(0.419, 20.0]","3_(21.679, 39.688]",0
65,1,male,40.0,0,0,27.7208,C,Mr,1,PC,0,0,Unknown,1,1,3.357621598945279,27.7208,1,27.7208,"(30.0, 40.0]","(21.679, 39.688]",male_1,"male_(30.0, 40.0]",C_1,"Mr_(30.0, 40.0]","1_(21.679, 39.688]",0
66,3,male,25.0,1,1,15.2458,C,Master,1,NONE,0,0,Unknown,3,0,2.787834413830345,5.081933333333333,2,7.6229,"(20.0, 25.0]","(10.5, 21.679]",male_3,"male_(20.0, 25.0]",C_3,"Master_(20.0, 25.0]","3_(10.5, 21.679]",1
67,2,female,29.0,0,0,10.5,S,Mrs,0,C,0,1,F,1,1,2.4423470353692043,10.5,1,10.5,"(25.0, 30.0]","(7.854, 10.5]",female_2,"female_(25.0, 30.0]",S_2,"Mrs_(25.0, 30.0]","2_(7.854, 10.5]",1
68,3,male,19.0,0,0,8.1583,S,Mr,0,S,0,0,Unknown,1,1,2.2146605719425225,8.1583,1,8.1583,"(0.419, 20.0]","(7.854, 10.5]",male_3,"male_(0.419, 20.0]",S_3,"Mr_(0.419, 20.0]","3_(7.854, 10.5]",0
69,3,female,17.0,4,2,7.925,S,Miss,0,NONE,0,0,Unknown,7,0,2.188856327665703,1.1321428571428571,1,7.925,"(0.419, 20.0]","(7.854, 10.5]",female_3,"female_(0.419, 20.0]",S_3,"Miss_(0.419, 20.0]","3_(7.854, 10.5]",1
70,3,male,26.0,2,0,8.6625,S,Mr,0,NONE,0,0,Unknown,3,0,2.2682524139135403,2.8875,1,8.6625,"(25.0, 30.0]","(7.854, 10.5]",male_3,"male_(25.0, 30.0]",S_3,"Mr_(25.0, 30.0]","3_(7.854, 10.5]",0
71,2,male,32.0,0,0,10.5,S,Mr,0,C,0,0,Unknown,1,1,2.4423470353692043,10.5,1,10.5,"(30.0, 40.0]","(7.854, 10.5]",male_2,"male_(30.0, 40.0]",S_2,"Mr_(30.0, 40.0]","2_(7.854, 10.5]",0
72,3,female,16.0,5,2,46.9,S,Miss,0,CA,0,0,Unknown,8,0,3.8691155044168695,5.8625,6,7.816666666666666,"(0.419, 20.0]","(39.688, 512.329]",female_3,"female_(0.419, 20.0]",S_3,"Miss_(0.419, 20.0]","3_(39.688, 512.329]",0
73,2,male,21.0,0,0,73.5,S,Mr,0,S,0,0,Unknown,1,1,4.310799125385514,73.5,5,14.7,"(20.0, 25.0]","(39.688, 512.329]",male_2,"male_(20.0, 25.0]",S_2,"Mr_(20.0, 25.0]","2_(39.688, 512.329]",0
74,3,male,26.0,1,0,14.4542,C,Mr,0,NONE,0,0,Unknown,2,0,2.737880811060884,7.2271,1,14.4542,"(25.0, 30.0]","(10.5, 21.679]",male_3,"male_(25.0, 30.0]",C_3,"Mr_(25.0, 30.0]","3_(10.5, 21.679]",0
75,3,male,32.0,0,0,56.4958,S,Mr,0,NONE,0,0,Unknown,1,1,4.05171190165724,56.4958,7,8.070828571428573,"(30.0, 40.0]","(39.688, 512.329]",male_3,"male_(30.0, 40.0]",S_3,"Mr_(30.0, 40.0]","3_(39.688, 512.329]",1
76,3,male,25.0,0,0,7.65,S,Mr,0,NONE,0,1,F,1,1,2.157559320943788,7.65,1,7.65,"(20.0, 25.0]","(-0.001, 7.854]",male_3,"male_(20.0, 25.0]",S_3,"Mr_(20.0, 25.0]","3_(-0.001, 7.854]",0
77,3,male,25.0,0,0,7.8958,S,Mr,1,NONE,0,0,Unknown,1,1,2.1855792552411137,7.8958,1,7.8958,"(20.0, 25.0]","(7.854, 10.5]",male_3,"male_(20.0, 25.0]",S_3,"Mr_(20.0, 25.0]","3_(7.854, 10.5]",0
78,3,male,25.0,0,0,8.05,S,Mr,1,NONE,0,0,Unknown,1,1,2.2027647577118348,8.05,1,8.05,"(20.0, 25.0]","(7.854, 10.5]",male_3,"male_(20.0, 25.0]",S_3,"Mr_(20.0, 25.0]","3_(7.854, 10.5]",0
79,2,male,0.83,0,2,29.0,S,Master,0,NONE,0,0,Unknown,3,0,3.4011973816621555,9.666666666666666,2,14.5,"(0.419, 20.0]","(21.679, 39.688]",male_2,"male_(0.419, 20.0]",S_2,"Master_(0.419, 20.0]","2_(21.679, 39.688]",1
80,3,female,30.0,0,0,12.475,S,Miss,0,NONE,0,0,Unknown,1,1,2.600836116795061,12.475,2,6.2375,"(25.0, 30.0]","(10.5, 21.679]",female_3,"female_(25.0, 30.0]",S_3,"Miss_(25.0, 30.0]","3_(10.5, 21.679]",1
81,3,male,22.0,0,0,9.0,S,Mr,0,NONE,0,0,Unknown,1,1,2.302585092994046,9.0,1,9.0,"(20.0, 25.0]","(7.854, 10.5]",male_3,"male_(20.0, 25.0]",S_3,"Mr_(20.0, 25.0]","3_(7.854, 10.5]",0
82,3,male,29.0,0,0,9.5,S,Mr,0,NONE,0,0,Unknown,1,1,2.3513752571634776,9.5,1,9.5,"(25.0, 30.0]","(7.854, 10.5]",male_3,"male_(25.0, 30.0]",S_3,"Mr_(25.0, 30.0]","3_(7.854, 10.5]",1
83,3,female,21.5,0,0,7.7875,Q,Miss,1,NONE,0,0,Unknown,1,1,2.1733302571367834,7.7875,1,7.7875,"(20.0, 25.0]","(-0.001, 7.854]",female_3,"female_(20.0, 25.0]",Q_3,"Miss_(20.0, 25.0]","3_(-0.001, 7.854]",1
84,1,male,28.0,0,0,47.1,S,Mr,0,NONE,0,0,Unknown,1,1,3.873282177111716,47.1,1,47.1,"(25.0, 30.0]","(39.688, 512.329]",male_1,"male_(25.0, 30.0]",S_1,"Mr_(25.0, 30.0]","1_(39.688, 512.329]",0
85,2,female,17.0,0,0,10.5,S,Miss,0,OTHER,0,0,Unknown,1,1,2.4423470353692043,10.5,1,10.5,"(0.419, 20.0]","(7.854, 10.5]",female_2,"female_(0.419, 20.0]",S_2,"Miss_(0.419, 20.0]","2_(7.854, 10.5]",1
86,3,female,33.0,3,0,15.85,S,Mrs,0,NONE,0,0,Unknown,4,0,2.8243506567983707,3.9625,2,7.925,"(30.0, 40.0]","(10.5, 21.679]",female_3,"female_(30.0, 40.0]",S_3,"Mrs_(30.0, 40.0]","3_(10.5, 21.679]",1
87,3,male,16.0,1,3,34.375,S,Mr,0,W,0,0,Unknown,5,0,3.566005355963401,6.875,4,8.59375,"(0.419, 20.0]","(21.679, 39.688]",male_3,"male_(0.419, 20.0]",S_3,"Mr_(0.419, 20.0]","3_(21.679, 39.688]",0
88,3,male,25.0,0,0,8.05,S,Mr,1,SOTON,0,0,Unknown,1,1,2.2027647577118348,8.05,1,8.05,"(20.0, 25.0]","(7.854, 10.5]",male_3,"male_(20.0, 25.0]",S_3,"Mr_(20.0, 25.0]","3_(7.854, 10.5]",0
89,1,female,23.0,3,2,263.0,S,Miss,0,NONE,0,1,C,6,0,5.575949103146316,43.833333333333336,4,65.75,"(20.0, 25.0]","(39.688, 512.329]",female_1,"female_(20.0, 25.0]",S_1,"Miss_(20.0, 25.0]","1_(39.688, 512.329]",1
90,3,male,24.0,0,0,8.05,S,Mr,0,NONE,0,0,Unknown,1,1,2.2027647577118348,8.05,1,8.05,"(20.0, 25.0]","(7.854, 10.5]",male_3,"male_(20.0, 25.0]",S_3,"Mr_(20.0, 25.0]","3_(7.854, 10.5]",0
91,3,male,29.0,0,0,8.05,S,Mr,0,NONE,0,0,Unknown,1,1,2.2027647577118348,8.05,1,8.05,"(25.0, 30.0]","(7.854, 10.5]",male_3,"male_(25.0, 30.0]",S_3,"Mr_(25.0, 30.0]","3_(7.854, 10.5]",0
92,3,male,20.0,0,0,7.8542,S,Mr,0,NONE,0,0,Unknown,1,1,2.180891922715322,7.8542,1,7.8542,"(0.419, 20.0]","(-0.001, 7.854]",male_3,"male_(0.419, 20.0]",S_3,"Mr_(0.419, 20.0]","3_(-0.001, 7.854]",0
93,1,male,46.0,1,0,61.175,S,Mr,0,W,0,1,E,2,0,4.1299529896894684,30.5875,1,61.175,"(40.0, 80.0]","(39.688, 512.329]",male_1,"male_(40.0, 80.0]",S_1,"Mr_(40.0, 80.0]","1_(39.688, 512.329]",0
94,3,male,26.0,1,2,20.575,S,Mr,0,C,0,0,Unknown,4,0,3.0715352369694915,5.14375,2,10.2875,"(25.0, 30.0]","(10.5, 21.679]",male_3,"male_(25.0, 30.0]",S_3,"Mr_(25.0, 30.0]","3_(10.5, 21.679]",0
95,3,male,59.0,0,0,7.25,S,Mr,0,NONE,0,0,Unknown,1,1,2.110213200346589,7.25,1,7.25,"(40.0, 80.0]","(-0.001, 7.854]",male_3,"male_(40.0, 80.0]",S_3,"Mr_(40.0, 80.0]","3_(-0.001, 7.854]",0
96,3,male,25.0,0,0,8.05,S,Mr,1,NONE,0,0,Unknown,1,1,2.2027647577118348,8.05,1,8.05,"(20.0, 25.0]","(7.854, 10.5]",male_3,"male_(20.0, 25.0]",S_3,"Mr_(20.0, 25.0]","3_(7.854, 10.5]",0
97,1,male,71.0,0,0,34.6542,C,Mr,0,PC,0,1,A,1,1,3.57386695198272,34.6542,1,34.6542,"(40.0, 80.0]","(21.679, 39.688]",male_1,"male_(40.0, 80.0]",C_1,"Mr_(40.0, 80.0]","1_(21.679, 39.688]",0
98,1,male,23.0,0,1,63.3583,C,Mr,0,PC,0,1,D,2,0,4.164465907853638,31.67915,1,63.3583,"(20.0, 25.0]","(39.688, 512.329]",male_1,"male_(20.0, 25.0]",C_1,"Mr_(20.0, 25.0]","1_(39.688, 512.329]",1
